method,backend,intent_id,domain,cell_id,seed,query,correct_hypothesis,predicted_hypothesis,interpretation_correct,action,ranking_recall_at_10,ranking_mrr,ranking_ndcg_at_10,evidence_recall_at_10,retrieval_calls,ask,wrong_answer,latency_ms,ambiguity,lexical,paraphrase,underspecification,distractor,severity
bm25,bm25,ops-02,ops,A3,42,Database browsers OOMKill show a certificate warning Consumer and mobile clients cannot handshake,ops.tls_cert_expired,ops.queue_backlog,False,ANSWER,0.6666666666666666,0.5,0.43734888382569426,0.6666666666666666,1,False,True,0.059999991208314896,3,0,0,0,0,0.2
bm25,bm25,ops-02,ops,L3,42,browsers shaw a certificate warning and mobile cleents cannot handsheke,ops.tls_cert_expired,ops.secret_rotation_mismatch,False,ANSWER,0.3333333333333333,0.25,0.20210734650054757,0.3333333333333333,1,False,True,0.04810001701116562,0,3,0,0,0,0.2
bm25,bm25,ops-02,ops,P3,42,browsers cannot clients mobile and warning certificate a show handshake,ops.tls_cert_expired,ops.tls_cert_expired,True,ANSWER,0.6666666666666666,1.0,0.6508205185601091,0.6666666666666666,1,False,False,0.04800001624971628,0,0,3,0,0,0.2
bm25,bm25,ops-02,ops,U3,42,browsers show certificate warning and cannot,ops.tls_cert_expired,ops.secret_rotation_mismatch,False,ANSWER,0.3333333333333333,0.25,0.20210734650054757,0.3333333333333333,1,False,True,0.04029995761811733,0,0,0,3,0,0.2
bm25,bm25,ops-02,ops,D3,42,mobile browsers show a certificate warning random and mobile clients yesterday cannot handshake,ops.tls_cert_expired,ops.tls_cert_expired,True,ANSWER,1.0,1.0,0.9325210919548239,1.0,1,False,False,0.05500006955116987,0,0,0,0,3,0.2
bm25,bm25,ops-02,ops,mid_mix,42,cannot mobile and warning canary certificate a show handshake Secret,ops.tls_cert_expired,ops.tls_cert_expired,True,ANSWER,0.6666666666666666,1.0,0.6257049680303419,0.6666666666666666,1,False,False,0.05270005203783512,2,1,2,1,0,0.4
bm25,bm25,ops-02,ops,hard_mix,42,random Consumer browseus a certificate mobile warning and mobile cannot,ops.tls_cert_expired,ops.queue_backlog,False,ANSWER,0.3333333333333333,0.16666666666666666,0.16716045496620227,0.3333333333333333,1,False,True,0.04780001472681761,1,2,1,2,2,0.5333333333333333
bm25,bm25,ops-02,ops,severe,42,OOMKill dashboard brousers mobile cannot yesterday mobile and certificate Expired a shuw Database,ops.tls_cert_expired,ops.secret_rotation_mismatch,False,ANSWER,0.6666666666666666,0.5,0.4776237035032179,0.6666666666666666,1,False,True,0.05689996760338545,3,3,2,2,3,0.8666666666666667
bm25,bm25,ops-03,ops,clean,42,after failover some offices still hit the drained cluster ip,ops.dns_cache_stale,ops.dns_cache_stale,True,ANSWER,0.6666666666666666,1.0,0.617319681505689,0.6666666666666666,1,False,False,0.05840009544044733,0,0,0,0,0,0.0
bm25,bm25,ops-03,ops,A3,42,after failover some offices still hit the OOMKill Upstream canary drained cluster ip,ops.dns_cache_stale,ops.dns_cache_stale,True,ANSWER,0.3333333333333333,1.0,0.46927872602275644,0.3333333333333333,1,False,False,0.0654000323265791,3,0,0,0,0,0.2
bm25,bm25,ops-03,ops,L3,42,after failover some offioes seill hit the draiaed clustur ip,ops.dns_cache_stale,ops.deploy_bad_canary,False,ANSWER,0.6666666666666666,0.5,0.4776237035032179,0.6666666666666666,1,False,True,0.05470006726682186,0,3,0,0,0,0.2
bm25,bm25,ops-03,ops,P3,42,after cluster drained the hit still offices some failover ip,ops.dns_cache_stale,ops.dns_cache_stale,True,ANSWER,0.6666666666666666,1.0,0.617319681505689,0.6666666666666666,1,False,False,0.05609996151179075,0,0,3,0,0,0.2
bm25,bm25,ops-03,ops,U3,42,failover offices still hit cluster ip,ops.dns_cache_stale,ops.dns_cache_stale,True,ANSWER,0.6666666666666666,1.0,0.6049306994552042,0.6666666666666666,1,False,False,0.04369998350739479,0,0,0,3,0,0.2
bm25,bm25,ops-03,ops,D3,42,yesterday after failover some dashboard offices still hit random the drained cluster ip,ops.dns_cache_stale,ops.dns_cache_stale,True,ANSWER,0.6666666666666666,1.0,0.617319681505689,0.6666666666666666,1,False,False,0.06470002699643373,0,0,0,0,3,0.2
bm25,bm25,ops-03,ops,mid_mix,42,following cluster drained hit stull some Upstream Stale failover ip,ops.dns_cache_stale,ops.dns_cache_stale,True,ANSWER,0.6666666666666666,1.0,0.6508205185601091,0.6666666666666666,1,False,False,0.05580007564276457,2,1,2,1,0,0.4
bm25,bm25,ops-03,ops,hard_mix,42,after failover offices still drained mobile random Expired cluster ip,ops.dns_cache_stale,ops.dns_cache_stale,True,ANSWER,0.6666666666666666,1.0,0.6105456988825855,0.6666666666666666,1,False,False,0.05819997750222683,1,2,1,2,2,0.5333333333333333
bm25,bm25,ops-03,ops,severe,42,aftur Consumer cluster the Stale hit some failover dashboard ip Expired mobile yesterday,ops.dns_cache_stale,ops.dns_cache_stale,True,ANSWER,0.6666666666666666,1.0,0.6257049680303419,0.6666666666666666,1,False,False,0.06320001557469368,3,3,2,2,3,0.8666666666666667
full+bm25,bm25,ops-01,ops,clean,42,prod started returning 401 after we rotated keys and only some pods fail,ops.secret_rotation_mismatch,ops.secret_rotation_mismatch,True,ASK,0.6666666666666666,0.5,0.4776237035032179,0.6666666666666666,6,True,False,1.8318000948056579,0,0,0,0,0,0.0
full+bm25,bm25,ops-01,ops,A3,42,prod started returning 401 after we rotated Secret OOMKill keys and only some pods Consumer fail,ops.secret_rotation_mismatch,ops.secret_rotation_mismatch,True,ASK,0.6666666666666666,1.0,0.7039180890341347,0.6666666666666666,6,True,False,1.7312999116256833,3,0,0,0,0,0.2
full+bm25,bm25,ops-01,ops,L3,42,prod started retirning 401 auter we rototed kiys and only some peds fail,ops.secret_rotation_mismatch,ops.feature_flag_split,False,ASK,0.0,0.0,0.0,0.0,1,True,False,0.6359999533742666,0,3,0,0,0,0.2
full+bm25,bm25,ops-01,ops,P3,42,prod instances some just and keys rotated we following 401 returning began fail,ops.secret_rotation_mismatch,ops.secret_rotation_mismatch,True,ANSWER,0.3333333333333333,1.0,0.46927872602275644,0.3333333333333333,2,False,False,0.7663998985663056,0,0,3,0,0,0.2
full+bm25,bm25,ops-01,ops,U3,42,prod started returning we keys and only pods fail,ops.secret_rotation_mismatch,ops.secret_rotation_mismatch,True,ASK,0.6666666666666666,1.0,0.7039180890341347,0.6666666666666666,6,True,False,1.6086000250652432,0,0,0,3,0,0.2
full+bm25,bm25,ops-01,ops,D3,42,prod started returning mobile 401 after we rotated keys and only some pods fail yesterday random,ops.secret_rotation_mismatch,ops.secret_rotation_mismatch,True,ASK,0.6666666666666666,0.5,0.4776237035032179,0.6666666666666666,6,True,False,1.6980000073090196,0,0,0,0,3,0.2
full+bm25,bm25,ops-01,ops,mid_mix,42,instances Secret some and keys rotated OOMKill we following 401 returning started fail,ops.secret_rotation_mismatch,ops.secret_rotation_mismatch,True,ANSWER,0.3333333333333333,1.0,0.46927872602275644,0.3333333333333333,4,False,False,1.0111000156030059,2,1,2,1,0,0.4
full+bm25,bm25,ops-01,ops,hard_mix,42,prod beean 401 after mobile rotated kays and jast Stale random pods faol,ops.secret_rotation_mismatch,ops.dns_cache_stale,False,ASK,0.3333333333333333,0.5,0.2960819109658652,0.3333333333333333,6,True,False,1.6110999276861548,1,2,1,2,2,0.5333333333333333
full+bm25,bm25,ops-01,ops,severe,42,prod mobile instaaces Secret some juot yesterday Database and keys dashboard rotated we 401 Stale began,ops.secret_rotation_mismatch,ops.secret_rotation_mismatch,True,ASK,0.6666666666666666,1.0,0.6713860725233041,0.6666666666666666,6,True,False,1.6522000078111887,3,3,2,2,3,0.8666666666666667
full+bm25,bm25,ops-02,ops,clean,42,browsers show a certificate warning and mobile clients cannot handshake,ops.tls_cert_expired,ops.tls_cert_expired,True,ANSWER,0.3333333333333333,1.0,0.46927872602275644,0.3333333333333333,2,False,False,0.7664000149816275,0,0,0,0,0,0.0
full+bm25,bm25,ops-02,ops,A3,42,Database browsers OOMKill show a certificate warning Consumer and mobile clients cannot handshake,ops.tls_cert_expired,ops.tls_cert_expired,True,ASK,1.0,1.0,0.8179809735263114,1.0,6,True,False,1.6395000275224447,3,0,0,0,0,0.2
full+bm25,bm25,ops-02,ops,L3,42,browsers shaw a certificate warning and mobile cleents cannot handsheke,ops.tls_cert_expired,ops.tls_cert_expired,True,ANSWER,0.3333333333333333,1.0,0.46927872602275644,0.3333333333333333,2,False,False,0.7550999289378524,0,3,0,0,0,0.2
full+bm25,bm25,ops-02,ops,P3,42,browsers cannot clients mobile and warning certificate a show handshake,ops.tls_cert_expired,ops.tls_cert_expired,True,ANSWER,0.3333333333333333,1.0,0.46927872602275644,0.3333333333333333,2,False,False,0.754999928176403,0,0,3,0,0,0.2
full+bm25,bm25,ops-02,ops,U3,42,browsers show certificate warning and cannot,ops.tls_cert_expired,ops.tls_cert_expired,True,ANSWER,0.3333333333333333,1.0,0.46927872602275644,0.3333333333333333,3,False,False,0.8008000440895557,0,0,0,3,0,0.2
full+bm25,bm25,ops-02,ops,D3,42,mobile browsers show a certificate warning random and mobile clients yesterday cannot handshake,ops.tls_cert_expired,ops.tls_cert_expired,True,ANSWER,0.3333333333333333,1.0,0.46927872602275644,0.3333333333333333,2,False,False,0.758900074288249,0,0,0,0,3,0.2
full+bm25,bm25,ops-02,ops,mid_mix,42,cannot mobile and warning canary certificate a show handshake Secret,ops.tls_cert_expired,ops.tls_cert_expired,True,ASK,1.0,1.0,0.8529278650606567,1.0,6,True,False,1.5443000011146069,2,1,2,1,0,0.4
full+bm25,bm25,ops-02,ops,hard_mix,42,random Consumer browseus a certificate mobile warning and mobile cannot,ops.tls_cert_expired,ops.queue_backlog,False,ASK,1.0,0.5,0.6196686079396531,1.0,5,True,False,1.3876000884920359,1,2,1,2,2,0.5333333333333333
full+bm25,bm25,ops-02,ops,severe,42,OOMKill dashboard brousers mobile cannot yesterday mobile and certificate Expired a shuw Database,ops.tls_cert_expired,ops.tls_cert_expired,True,ANSWER,0.3333333333333333,1.0,0.46927872602275644,0.3333333333333333,4,False,False,1.0389999952167273,3,3,2,2,3,0.8666666666666667
full+bm25,bm25,ops-03,ops,clean,42,after failover some offices still hit the drained cluster ip,ops.dns_cache_stale,ops.dns_cache_stale,True,ANSWER,0.3333333333333333,1.0,0.46927872602275644,0.3333333333333333,4,False,False,1.0111000156030059,0,0,0,0,0,0.0
full+bm25,bm25,ops-03,ops,A3,42,after failover some offices still hit the OOMKill Upstream canary drained cluster ip,ops.dns_cache_stale,ops.dns_cache_stale,True,ANSWER,0.3333333333333333,1.0,0.46927872602275644,0.3333333333333333,4,False,False,1.0543999960646033,3,0,0,0,0,0.2
full+bm25,bm25,ops-03,ops,L3,42,after failover some offioes seill hit the draiaed clustur ip,ops.dns_cache_stale,ops.dns_cache_stale,True,ASK,0.6666666666666666,0.25,0.36926780146674987,0.6666666666666666,6,True,False,1.5309000154957175,0,3,0,0,0,0.2
full+bm25,bm25,ops-03,ops,P3,42,after cluster drained the hit still offices some failover ip,ops.dns_cache_stale,ops.dns_cache_stale,True,ANSWER,0.3333333333333333,1.0,0.46927872602275644,0.3333333333333333,4,False,False,0.9990000398829579,0,0,3,0,0,0.2
full+bm25,bm25,ops-03,ops,U3,42,failover offices still hit cluster ip,ops.dns_cache_stale,ops.dns_cache_stale,True,ANSWER,0.3333333333333333,1.0,0.46927872602275644,0.3333333333333333,4,False,False,0.9650998981669545,0,0,0,3,0,0.2
full+bm25,bm25,ops-03,ops,D3,42,yesterday after failover some dashboard offices still hit random the drained cluster ip,ops.dns_cache_stale,ops.dns_cache_stale,True,ANSWER,0.3333333333333333,1.0,0.46927872602275644,0.3333333333333333,4,False,False,1.025600009597838,0,0,0,0,3,0.2
full+bm25,bm25,ops-03,ops,mid_mix,42,following cluster drained hit stull some Upstream Stale failover ip,ops.dns_cache_stale,ops.dns_cache_stale,True,ANSWER,0.3333333333333333,1.0,0.46927872602275644,0.3333333333333333,4,False,False,1.09629996586591,2,1,2,1,0,0.4
full+bm25,bm25,ops-03,ops,hard_mix,42,after failover offices still drained mobile random Expired cluster ip,ops.dns_cache_stale,ops.dns_cache_stale,True,ANSWER,0.3333333333333333,1.0,0.46927872602275644,0.3333333333333333,4,False,False,1.0095000034198165,1,2,1,2,2,0.5333333333333333
full+bm25,bm25,ops-03,ops,severe,42,aftur Consumer cluster the Stale hit some failover dashboard ip Expired mobile yesterday,ops.dns_cache_stale,ops.dns_cache_stale,True,ASK,0.6666666666666666,0.5,0.4776237035032179,0.6666666666666666,6,True,False,1.5972000546753407,3,3,2,2,3,0.8666666666666667
